dataset,layout,group,cache,mode,axis,runs,total_median_sec,read_median_sec,write_median_sec,avg_median_ms,plan_hashes
test18,legacy,test18_legacy,cold_scrubbed,random,x,3,5.761,5.704,3.899,57.611,ec538bbbe8e42dcf
test18,legacy,test18_legacy,cold_scrubbed,random,y,3,7.759,7.751,1.33,77.587,e67288f0fd202bdc
test18,legacy,test18_legacy,cold_scrubbed,random,z,3,4.204,4.197,1.301,42.041,f8b9ce98ac582ff4
test18,legacy,test18_legacy,cold_scrubbed,sequential,x,3,0.25,0.12,0.19,24.967,e2b261fdd67dcd09
test18,legacy,test18_legacy,cold_scrubbed,sequential,y,3,0.095,0.059,0.059,9.461,39bc1538f3c8ff56
test18,legacy,test18_legacy,cold_scrubbed,sequential,z,3,0.108,0.06,0.071,10.813,8388ff452309d81b
test18,legacy,test18_legacy,hot_prefetched,random,x,3,1.909,1.78,1.738,19.086,ec538bbbe8e42dcf
test18,legacy,test18_legacy,hot_prefetched,random,y,3,1.734,1.727,1.019,17.335,e67288f0fd202bdc
test18,legacy,test18_legacy,hot_prefetched,random,z,3,2.794,2.787,1.097,27.936,f8b9ce98ac582ff4
test18,legacy,test18_legacy,hot_prefetched,sequential,x,3,0.232,0.109,0.179,23.203,e2b261fdd67dcd09
test18,legacy,test18_legacy,hot_prefetched,sequential,y,3,0.097,0.054,0.067,9.651,39bc1538f3c8ff56
test18,legacy,test18_legacy,hot_prefetched,sequential,z,3,0.099,0.064,0.063,9.899,8388ff452309d81b
test18,micro8,test18_micro8,cold_scrubbed,random,x,3,7.731,7.691,3.641,77.307,ec538bbbe8e42dcf
test18,micro8,test18_micro8,cold_scrubbed,random,y,3,2.758,2.752,1.127,27.585,e67288f0fd202bdc
test18,micro8,test18_micro8,cold_scrubbed,random,z,3,3.203,3.196,1.117,32.027,f8b9ce98ac582ff4
test18,micro8,test18_micro8,cold_scrubbed,sequential,x,3,0.292,0.195,0.223,29.221,e2b261fdd67dcd09
test18,micro8,test18_micro8,cold_scrubbed,sequential,y,3,0.119,0.077,0.056,11.866,39bc1538f3c8ff56
test18,micro8,test18_micro8,cold_scrubbed,sequential,z,3,0.086,0.055,0.058,8.558,8388ff452309d81b
test18,micro8,test18_micro8,hot_prefetched,random,x,3,2.344,2.223,2.137,23.44,ec538bbbe8e42dcf
test18,micro8,test18_micro8,hot_prefetched,random,y,3,1.807,1.8,1.046,18.065,e67288f0fd202bdc
test18,micro8,test18_micro8,hot_prefetched,random,z,3,2.783,2.777,1.096,27.827,f8b9ce98ac582ff4
test18,micro8,test18_micro8,hot_prefetched,sequential,x,3,0.275,0.192,0.221,27.498,e2b261fdd67dcd09
test18,micro8,test18_micro8,hot_prefetched,sequential,y,3,0.098,0.058,0.055,9.782,39bc1538f3c8ff56
test18,micro8,test18_micro8,hot_prefetched,sequential,z,3,0.083,0.047,0.059,8.345,8388ff452309d81b
test50,legacy,test50_legacy,cold_scrubbed,random,x,3,5.664,5.626,4.219,56.636,8b91a9e0f840b280
test50,legacy,test50_legacy,cold_scrubbed,random,y,3,41.121,41.103,6.551,411.21,beb82312af1110d9
test50,legacy,test50_legacy,cold_scrubbed,random,z,3,25.838,25.824,4.291,258.378,e31dc0f5a2a371c5
test50,legacy,test50_legacy,cold_scrubbed,sequential,x,3,0.347,0.225,0.26,34.665,1665cbc72a2c1b90
test50,legacy,test50_legacy,cold_scrubbed,sequential,y,3,0.434,0.311,0.157,43.356,cd37d91f37db20eb
test50,legacy,test50_legacy,cold_scrubbed,sequential,z,3,0.513,0.428,0.141,51.275,94a80cbf971ae4d6
test50,legacy,test50_legacy,hot_prefetched,random,x,3,4.543,4.501,3.932,45.435,8b91a9e0f840b280
test50,legacy,test50_legacy,hot_prefetched,random,y,3,40.221,40.202,7.16,402.214,beb82312af1110d9
test50,legacy,test50_legacy,hot_prefetched,random,z,3,26.609,26.596,5.002,266.087,e31dc0f5a2a371c5
test50,legacy,test50_legacy,hot_prefetched,sequential,x,3,0.406,0.295,0.335,40.611,1665cbc72a2c1b90
test50,legacy,test50_legacy,hot_prefetched,sequential,y,3,0.45,0.314,0.171,45.026,cd37d91f37db20eb
test50,legacy,test50_legacy,hot_prefetched,sequential,z,3,0.411,0.33,0.135,41.145,94a80cbf971ae4d6
test50,micro8,test50_micro8,cold_scrubbed,random,x,2,8.033999999999999,7.986000000000001,4.6129999999999995,80.34,8b91a9e0f840b280
test50,micro8,test50_micro8,cold_scrubbed,random,y,2,15.152000000000001,15.129000000000001,4.170999999999999,151.5205,beb82312af1110d9
test50,micro8,test50_micro8,cold_scrubbed,random,z,2,15.963000000000001,15.9485,2.544,159.63150000000002,e31dc0f5a2a371c5
test50,micro8,test50_micro8,cold_scrubbed,sequential,x,2,0.379,0.264,0.272,37.894999999999996,1665cbc72a2c1b90
test50,micro8,test50_micro8,cold_scrubbed,sequential,y,2,0.6185,0.575,0.34550000000000003,61.864999999999995,cd37d91f37db20eb
test50,micro8,test50_micro8,cold_scrubbed,sequential,z,2,0.379,0.3025,0.131,37.9075,94a80cbf971ae4d6
test50,micro8,test50_micro8,hot_prefetched,random,x,2,8.488,8.445,4.484500000000001,84.8785,8b91a9e0f840b280
test50,micro8,test50_micro8,hot_prefetched,random,y,2,21.7205,21.7035,5.9895,217.20499999999998,beb82312af1110d9
test50,micro8,test50_micro8,hot_prefetched,random,z,2,24.785,24.765500000000003,4.635999999999999,247.85,e31dc0f5a2a371c5
test50,micro8,test50_micro8,hot_prefetched,sequential,x,2,0.4815,0.3235,0.3215,48.136,1665cbc72a2c1b90
test50,micro8,test50_micro8,hot_prefetched,sequential,y,2,0.6679999999999999,0.6120000000000001,0.4185,66.8095,cd37d91f37db20eb
test50,micro8,test50_micro8,hot_prefetched,sequential,z,2,0.4145,0.299,0.16999999999999998,41.463499999999996,94a80cbf971ae4d6
